43,Spinda #6,Make a Great Curveball Throw
51,Voltorb,Make 5 Nice Throws
13,Gastly,Make 3 Great Throws
54,Gastly,Make 3 Great Throws
4,Golduck,Make 3 Curveball Throws in a row
32,Kanto Starter,Win a Gym Battle
26,Porygon,Win a Raid
39,Porygon,Win a Raid
49,Porygon,Win a Raid
50,Porygon,Win a Raid
11,Mankey,Battle in a Gym
47,Machop,Battle in a Gym 5 times
0,Eevee,Evolve a Pokemon
40,Feebas,Trade a Pokemon
46,Misdreavus,Transfer 10 Pokemon
57,Misdreavus,Transfer 10 Pokemon
3,Numel,Catch 3 Grass- Water- or Fire-type Pokemon
12,Numel,Catch 3 Grass- Water- or Fire-type Pokemon
27,Numel,Catch 3 Grass- Water- or Fire-type Pokemon
35,Vulpix/Poliwag,Catch 5 Pokemon with Weather Boost
16,Magikarp,Catch 10 Pokemon
6,Exeggcute/Lanturn,Hatch an Egg
56,Magmar,Hatch 3 Eggs
42,Kanto Starter,Power up Pokemon 5 Times
